΅	΅	 ̈́	U+1FEE (GREEK DIALYTIKA AND OXIA) preserved DIACRITIC
`	`	`	U+1FEF (GREEK VARIA) preserved DIACRITIC
Ό	Ό	Ό	U+1FF9 (GREEK CAPITAL LETTER OMICRON WITH OXIA) preserved DIACRITIC
Ώ	Ώ	Ώ	U+1FFB (GREEK CAPITAL LETTER OMEGA WITH OXIA) preserved DIACRITIC
´	´	 ́	U+1FFD (GREEK OXIA) preserved DIACRITIC
῾	῾	 ̔	U+1FFE (GREEK DASIA) preserved DIACRITIC
‗	‗	 ̳	U+2017 (DOUBLE LOW LINE) preserved DIACRITIC
‾	‾	 ̅	U+203E (OVERLINE) preserved DIACRITIC
⁰	⁰	0	U+2070 (SUPERSCRIPT ZERO) preserved SUPERSCRIPT
ⁱ	ⁱ	i	U+2071 (SUPERSCRIPT LATIN SMALL LETTER I) preserved SUPERSCRIPT
⁴	⁴	4	U+2074 (SUPERSCRIPT FOUR) preserved SUPERSCRIPT
⁵	⁵	5	U+2075 (SUPERSCRIPT FIVE) preserved SUPERSCRIPT
⁶	⁶	6	U+2076 (SUPERSCRIPT SIX) preserved SUPERSCRIPT
⁷	⁷	7	U+2077 (SUPERSCRIPT SEVEN) preserved SUPERSCRIPT
⁸	⁸	8	U+2078 (SUPERSCRIPT EIGHT) preserved SUPERSCRIPT
⁹	⁹	9	U+2079 (SUPERSCRIPT NINE) preserved SUPERSCRIPT
⁺	⁺	+	U+207A (SUPERSCRIPT PLUS SIGN) preserved SUPERSCRIPT
⁻	⁻	−	U+207B (SUPERSCRIPT MINUS) preserved SUPERSCRIPT
⁼	⁼	=	U+207C (SUPERSCRIPT EQUALS SIGN) preserved SUPERSCRIPT
⁽	⁽	(	U+207D (SUPERSCRIPT LEFT PARENTHESIS) preserved SUPERSCRIPT
⁾	⁾	)	U+207E (SUPERSCRIPT RIGHT PARENTHESIS) preserved SUPERSCRIPT
ⁿ	ⁿ	n	U+207F (SUPERSCRIPT LATIN SMALL LETTER N) preserved SUPERSCRIPT
₀	₀	0	U+2080 (SUBSCRIPT ZERO) preserved SUBSCRIPT
₁	₁	1	U+2081 (SUBSCRIPT ONE) preserved SUBSCRIPT
₂	₂	2	U+2082 (SUBSCRIPT TWO) preserved SUBSCRIPT
₃	₃	3	U+2083 (SUBSCRIPT THREE) preserved SUBSCRIPT
₄	₄	4	U+2084 (SUBSCRIPT FOUR) preserved SUBSCRIPT
₅	₅	5	U+2085 (SUBSCRIPT FIVE) preserved SUBSCRIPT
₆	₆	6	U+2086 (SUBSCRIPT SIX) preserved SUBSCRIPT
₇	₇	7	U+2087 (SUBSCRIPT SEVEN) preserved SUBSCRIPT
₈	₈	8	U+2088 (SUBSCRIPT EIGHT) preserved SUBSCRIPT
₉	₉	9	U+2089 (SUBSCRIPT NINE) preserved SUBSCRIPT
₊	₊	+	U+208A (SUBSCRIPT PLUS SIGN) preserved SUBSCRIPT
₋	₋	−	U+208B (SUBSCRIPT MINUS) preserved SUBSCRIPT
₌	₌	=	U+208C (SUBSCRIPT EQUALS SIGN) preserved SUBSCRIPT
₍	₍	(	U+208D (SUBSCRIPT LEFT PARENTHESIS) preserved SUBSCRIPT
₎	₎	)	U+208E (SUBSCRIPT RIGHT PARENTHESIS) preserved SUBSCRIPT
ₐ	ₐ	a	U+2090 (LATIN SUBSCRIPT SMALL LETTER A) preserved SUBSCRIPT
ₑ	ₑ	e	U+2091 (LATIN SUBSCRIPT SMALL LETTER E) preserved SUBSCRIPT
ₒ	ₒ	o	U+2092 (LATIN SUBSCRIPT SMALL LETTER O) preserved SUBSCRIPT
ₓ	ₓ	x	U+2093 (LATIN SUBSCRIPT SMALL LETTER X) preserved SUBSCRIPT
ₔ	ₔ	ə	U+2094 (LATIN SUBSCRIPT SMALL LETTER SCHWA) preserved SUBSCRIPT
ₕ	ₕ	h	U+2095 (LATIN SUBSCRIPT SMALL LETTER H) preserved SUBSCRIPT
ₖ	ₖ	k	U+2096 (LATIN SUBSCRIPT SMALL LETTER K) preserved SUBSCRIPT
ₗ	ₗ	l	U+2097 (LATIN SUBSCRIPT SMALL LETTER L) preserved SUBSCRIPT
ₘ	ₘ	m	U+2098 (LATIN SUBSCRIPT SMALL LETTER M) preserved SUBSCRIPT
