MapFromString	MapToString	Comment # File DigitMappingAnnotated.tsv, automatically generated by script wildebeest_build.py (Ulf Hermjakob, USC/ISI) based on UnicodeData on Oct 18, 2020, 17:54:45
᭖	6	U+1B56 (BALINESE DIGIT SIX) -> U+0036 (DIGIT SIX)
᭗	7	U+1B57 (BALINESE DIGIT SEVEN) -> U+0037 (DIGIT SEVEN)
᭘	8	U+1B58 (BALINESE DIGIT EIGHT) -> U+0038 (DIGIT EIGHT)
᭙	9	U+1B59 (BALINESE DIGIT NINE) -> U+0039 (DIGIT NINE)
᮰	0	U+1BB0 (SUNDANESE DIGIT ZERO) -> U+0030 (DIGIT ZERO)
᮱	1	U+1BB1 (SUNDANESE DIGIT ONE) -> U+0031 (DIGIT ONE)
᮲	2	U+1BB2 (SUNDANESE DIGIT TWO) -> U+0032 (DIGIT TWO)
᮳	3	U+1BB3 (SUNDANESE DIGIT THREE) -> U+0033 (DIGIT THREE)
᮴	4	U+1BB4 (SUNDANESE DIGIT FOUR) -> U+0034 (DIGIT FOUR)
᮵	5	U+1BB5 (SUNDANESE DIGIT FIVE) -> U+0035 (DIGIT FIVE)
᮶	6	U+1BB6 (SUNDANESE DIGIT SIX) -> U+0036 (DIGIT SIX)
᮷	7	U+1BB7 (SUNDANESE DIGIT SEVEN) -> U+0037 (DIGIT SEVEN)
᮸	8	U+1BB8 (SUNDANESE DIGIT EIGHT) -> U+0038 (DIGIT EIGHT)
᮹	9	U+1BB9 (SUNDANESE DIGIT NINE) -> U+0039 (DIGIT NINE)
᱀	0	U+1C40 (LEPCHA DIGIT ZERO) -> U+0030 (DIGIT ZERO)
᱁	1	U+1C41 (LEPCHA DIGIT ONE) -> U+0031 (DIGIT ONE)
᱂	2	U+1C42 (LEPCHA DIGIT TWO) -> U+0032 (DIGIT TWO)
᱃	3	U+1C43 (LEPCHA DIGIT THREE) -> U+0033 (DIGIT THREE)
᱄	4	U+1C44 (LEPCHA DIGIT FOUR) -> U+0034 (DIGIT FOUR)
᱅	5	U+1C45 (LEPCHA DIGIT FIVE) -> U+0035 (DIGIT FIVE)
᱆	6	U+1C46 (LEPCHA DIGIT SIX) -> U+0036 (DIGIT SIX)
᱇	7	U+1C47 (LEPCHA DIGIT SEVEN) -> U+0037 (DIGIT SEVEN)
᱈	8	U+1C48 (LEPCHA DIGIT EIGHT) -> U+0038 (DIGIT EIGHT)
᱉	9	U+1C49 (LEPCHA DIGIT NINE) -> U+0039 (DIGIT NINE)
᱐	0	U+1C50 (OL CHIKI DIGIT ZERO) -> U+0030 (DIGIT ZERO)
᱑	1	U+1C51 (OL CHIKI DIGIT ONE) -> U+0031 (DIGIT ONE)
᱒	2	U+1C52 (OL CHIKI DIGIT TWO) -> U+0032 (DIGIT TWO)
᱓	3	U+1C53 (OL CHIKI DIGIT THREE) -> U+0033 (DIGIT THREE)
᱔	4	U+1C54 (OL CHIKI DIGIT FOUR) -> U+0034 (DIGIT FOUR)
᱕	5	U+1C55 (OL CHIKI DIGIT FIVE) -> U+0035 (DIGIT FIVE)
᱖	6	U+1C56 (OL CHIKI DIGIT SIX) -> U+0036 (DIGIT SIX)
᱗	7	U+1C57 (OL CHIKI DIGIT SEVEN) -> U+0037 (DIGIT SEVEN)
᱘	8	U+1C58 (OL CHIKI DIGIT EIGHT) -> U+0038 (DIGIT EIGHT)
᱙	9	U+1C59 (OL CHIKI DIGIT NINE) -> U+0039 (DIGIT NINE)
꘠	0	U+A620 (VAI DIGIT ZERO) -> U+0030 (DIGIT ZERO)
꘡	1	U+A621 (VAI DIGIT ONE) -> U+0031 (DIGIT ONE)
꘢	2	U+A622 (VAI DIGIT TWO) -> U+0032 (DIGIT TWO)
꘣	3	U+A623 (VAI DIGIT THREE) -> U+0033 (DIGIT THREE)
꘤	4	U+A624 (VAI DIGIT FOUR) -> U+0034 (DIGIT FOUR)
꘥	5	U+A625 (VAI DIGIT FIVE) -> U+0035 (DIGIT FIVE)
