MapFromString	MapToString	Comment # File ArabicPresentationFormMappingAnnotated.tsv, automatically generated by script wildebeest_build.py (Ulf Hermjakob, USC/ISI) based on UnicodeData on Sep 26, 2020, 22:36:13
ﰂ	ئم	U+FC02 (ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH MEEM ISOLATED FORM) -> U+0626 U+0645
ﰃ	ئى	U+FC03 (ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH ALEF MAKSURA ISOLATED FORM) -> U+0626 U+0649
ﰄ	ئي	U+FC04 (ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH YEH ISOLATED FORM) -> U+0626 U+064A
ﰅ	بج	U+FC05 (ARABIC LIGATURE BEH WITH JEEM ISOLATED FORM) -> U+0628 U+062C
ﰆ	بح	U+FC06 (ARABIC LIGATURE BEH WITH HAH ISOLATED FORM) -> U+0628 U+062D
ﰇ	بخ	U+FC07 (ARABIC LIGATURE BEH WITH KHAH ISOLATED FORM) -> U+0628 U+062E
ﰈ	بم	U+FC08 (ARABIC LIGATURE BEH WITH MEEM ISOLATED FORM) -> U+0628 U+0645
ﰉ	بى	U+FC09 (ARABIC LIGATURE BEH WITH ALEF MAKSURA ISOLATED FORM) -> U+0628 U+0649
ﰊ	بي	U+FC0A (ARABIC LIGATURE BEH WITH YEH ISOLATED FORM) -> U+0628 U+064A
ﰋ	تج	U+FC0B (ARABIC LIGATURE TEH WITH JEEM ISOLATED FORM) -> U+062A U+062C
ﰌ	تح	U+FC0C (ARABIC LIGATURE TEH WITH HAH ISOLATED FORM) -> U+062A U+062D
ﰍ	تخ	U+FC0D (ARABIC LIGATURE TEH WITH KHAH ISOLATED FORM) -> U+062A U+062E
ﰎ	تم	U+FC0E (ARABIC LIGATURE TEH WITH MEEM ISOLATED FORM) -> U+062A U+0645
ﰏ	تى	U+FC0F (ARABIC LIGATURE TEH WITH ALEF MAKSURA ISOLATED FORM) -> U+062A U+0649
ﰐ	تي	U+FC10 (ARABIC LIGATURE TEH WITH YEH ISOLATED FORM) -> U+062A U+064A
ﰑ	ثج	U+FC11 (ARABIC LIGATURE THEH WITH JEEM ISOLATED FORM) -> U+062B U+062C
ﰒ	ثم	U+FC12 (ARABIC LIGATURE THEH WITH MEEM ISOLATED FORM) -> U+062B U+0645
ﰓ	ثى	U+FC13 (ARABIC LIGATURE THEH WITH ALEF MAKSURA ISOLATED FORM) -> U+062B U+0649
