𝐷	D	U+1D437 (MATHEMATICAL ITALIC CAPITAL D) -> U+0044 (LATIN CAPITAL LETTER D)
𝐸	E	U+1D438 (MATHEMATICAL ITALIC CAPITAL E) -> U+0045 (LATIN CAPITAL LETTER E)
𝐹	F	U+1D439 (MATHEMATICAL ITALIC CAPITAL F) -> U+0046 (LATIN CAPITAL LETTER F)
𝐺	G	U+1D43A (MATHEMATICAL ITALIC CAPITAL G) -> U+0047 (LATIN CAPITAL LETTER G)
𝐻	H	U+1D43B (MATHEMATICAL ITALIC CAPITAL H) -> U+0048 (LATIN CAPITAL LETTER H)
𝐼	I	U+1D43C (MATHEMATICAL ITALIC CAPITAL I) -> U+0049 (LATIN CAPITAL LETTER I)
𝐽	J	U+1D43D (MATHEMATICAL ITALIC CAPITAL J) -> U+004A (LATIN CAPITAL LETTER J)
𝐾	K	U+1D43E (MATHEMATICAL ITALIC CAPITAL K) -> U+004B (LATIN CAPITAL LETTER K)
𝐿	L	U+1D43F (MATHEMATICAL ITALIC CAPITAL L) -> U+004C (LATIN CAPITAL LETTER L)
𝑀	M	U+1D440 (MATHEMATICAL ITALIC CAPITAL M) -> U+004D (LATIN CAPITAL LETTER M)
𝑁	N	U+1D441 (MATHEMATICAL ITALIC CAPITAL N) -> U+004E (LATIN CAPITAL LETTER N)
𝑂	O	U+1D442 (MATHEMATICAL ITALIC CAPITAL O) -> U+004F (LATIN CAPITAL LETTER O)
𝑃	P	U+1D443 (MATHEMATICAL ITALIC CAPITAL P) -> U+0050 (LATIN CAPITAL LETTER P)
𝑄	Q	U+1D444 (MATHEMATICAL ITALIC CAPITAL Q) -> U+0051 (LATIN CAPITAL LETTER Q)
𝑅	R	U+1D445 (MATHEMATICAL ITALIC CAPITAL R) -> U+0052 (LATIN CAPITAL LETTER R)
𝑆	S	U+1D446 (MATHEMATICAL ITALIC CAPITAL S) -> U+0053 (LATIN CAPITAL LETTER S)
𝑇	T	U+1D447 (MATHEMATICAL ITALIC CAPITAL T) -> U+0054 (LATIN CAPITAL LETTER T)
𝑈	U	U+1D448 (MATHEMATICAL ITALIC CAPITAL U) -> U+0055 (LATIN CAPITAL LETTER U)
𝑉	V	U+1D449 (MATHEMATICAL ITALIC CAPITAL V) -> U+0056 (LATIN CAPITAL LETTER V)
𝑊	W	U+1D44A (MATHEMATICAL ITALIC CAPITAL W) -> U+0057 (LATIN CAPITAL LETTER W)
𝑋	X	U+1D44B (MATHEMATICAL ITALIC CAPITAL X) -> U+0058 (LATIN CAPITAL LETTER X)
𝑌	Y	U+1D44C (MATHEMATICAL ITALIC CAPITAL Y) -> U+0059 (LATIN CAPITAL LETTER Y)
𝑍	Z	U+1D44D (MATHEMATICAL ITALIC CAPITAL Z) -> U+005A (LATIN CAPITAL LETTER Z)
𝑎	a	U+1D44E (MATHEMATICAL ITALIC SMALL A) -> U+0061 (LATIN SMALL LETTER A)
𝑏	b	U+1D44F (MATHEMATICAL ITALIC SMALL B) -> U+0062 (LATIN SMALL LETTER B)
𝑐	c	U+1D450 (MATHEMATICAL ITALIC SMALL C) -> U+0063 (LATIN SMALL LETTER C)
𝑑	d	U+1D451 (MATHEMATICAL ITALIC SMALL D) -> U+0064 (LATIN SMALL LETTER D)
𝑒	e	U+1D452 (MATHEMATICAL ITALIC SMALL E) -> U+0065 (LATIN SMALL LETTER E)
𝑓	f	U+1D453 (MATHEMATICAL ITALIC SMALL F) -> U+0066 (LATIN SMALL LETTER F)
𝑔	g	U+1D454 (MATHEMATICAL ITALIC SMALL G) -> U+0067 (LATIN SMALL LETTER G)
𝑖	i	U+1D456 (MATHEMATICAL ITALIC SMALL I) -> U+0069 (LATIN SMALL LETTER I)
𝑗	j	U+1D457 (MATHEMATICAL ITALIC SMALL J) -> U+006A (LATIN SMALL LETTER J)
𝑘	k	U+1D458 (MATHEMATICAL ITALIC SMALL K) -> U+006B (LATIN SMALL LETTER K)
𝑙	l	U+1D459 (MATHEMATICAL ITALIC SMALL L) -> U+006C (LATIN SMALL LETTER L)
𝑚	m	U+1D45A (MATHEMATICAL ITALIC SMALL M) -> U+006D (LATIN SMALL LETTER M)
𝑛	n	U+1D45B (MATHEMATICAL ITALIC SMALL N) -> U+006E (LATIN SMALL LETTER N)
𝑜	o	U+1D45C (MATHEMATICAL ITALIC SMALL O) -> U+006F (LATIN SMALL LETTER O)
𝑝	p	U+1D45D (MATHEMATICAL ITALIC SMALL P) -> U+0070 (LATIN SMALL LETTER P)
𝑞	q	U+1D45E (MATHEMATICAL ITALIC SMALL Q) -> U+0071 (LATIN SMALL LETTER Q)
𝑟	r	U+1D45F (MATHEMATICAL ITALIC SMALL R) -> U+0072 (LATIN SMALL LETTER R)
𝑠	s	U+1D460 (MATHEMATICAL ITALIC SMALL S) -> U+0073 (LATIN SMALL LETTER S)
𝑡	t	U+1D461 (MATHEMATICAL ITALIC SMALL T) -> U+0074 (LATIN SMALL LETTER T)
𝑢	u	U+1D462 (MATHEMATICAL ITALIC SMALL U) -> U+0075 (LATIN SMALL LETTER U)
𝑣	v	U+1D463 (MATHEMATICAL ITALIC SMALL V) -> U+0076 (LATIN SMALL LETTER V)
𝑤	w	U+1D464 (MATHEMATICAL ITALIC SMALL W) -> U+0077 (LATIN SMALL LETTER W)
𝑥	x	U+1D465 (MATHEMATICAL ITALIC SMALL X) -> U+0078 (LATIN SMALL LETTER X)
𝑦	y	U+1D466 (MATHEMATICAL ITALIC SMALL Y) -> U+0079 (LATIN SMALL LETTER Y)
𝑧	z	U+1D467 (MATHEMATICAL ITALIC SMALL Z) -> U+007A (LATIN SMALL LETTER Z)
𝑨	A	U+1D468 (MATHEMATICAL BOLD ITALIC CAPITAL A) -> U+0041 (LATIN CAPITAL LETTER A)
𝑩	B	U+1D469 (MATHEMATICAL BOLD ITALIC CAPITAL B) -> U+0042 (LATIN CAPITAL LETTER B)
𝑪	C	U+1D46A (MATHEMATICAL BOLD ITALIC CAPITAL C) -> U+0043 (LATIN CAPITAL LETTER C)
𝑫	D	U+1D46B (MATHEMATICAL BOLD ITALIC CAPITAL D) -> U+0044 (LATIN CAPITAL LETTER D)
𝑬	E	U+1D46C (MATHEMATICAL BOLD ITALIC CAPITAL E) -> U+0045 (LATIN CAPITAL LETTER E)
𝑭	F	U+1D46D (MATHEMATICAL BOLD ITALIC CAPITAL F) -> U+0046 (LATIN CAPITAL LETTER F)
𝑮	G	U+1D46E (MATHEMATICAL BOLD ITALIC CAPITAL G) -> U+0047 (LATIN CAPITAL LETTER G)
𝑯	H	U+1D46F (MATHEMATICAL BOLD ITALIC CAPITAL H) -> U+0048 (LATIN CAPITAL LETTER H)
𝑰	I	U+1D470 (MATHEMATICAL BOLD ITALIC CAPITAL I) -> U+0049 (LATIN CAPITAL LETTER I)
𝑱	J	U+1D471 (MATHEMATICAL BOLD ITALIC CAPITAL J) -> U+004A (LATIN CAPITAL LETTER J)
𝑲	K	U+1D472 (MATHEMATICAL BOLD ITALIC CAPITAL K) -> U+004B (LATIN CAPITAL LETTER K)
𝑳	L	U+1D473 (MATHEMATICAL BOLD ITALIC CAPITAL L) -> U+004C (LATIN CAPITAL LETTER L)
𝑴	M	U+1D474 (MATHEMATICAL BOLD ITALIC CAPITAL M) -> U+004D (LATIN CAPITAL LETTER M)
𝑵	N	U+1D475 (MATHEMATICAL BOLD ITALIC CAPITAL N) -> U+004E (LATIN CAPITAL LETTER N)
𝑶	O	U+1D476 (MATHEMATICAL BOLD ITALIC CAPITAL O) -> U+004F (LATIN CAPITAL LETTER O)
𝑷	P	U+1D477 (MATHEMATICAL BOLD ITALIC CAPITAL P) -> U+0050 (LATIN CAPITAL LETTER P)
𝑸	Q	U+1D478 (MATHEMATICAL BOLD ITALIC CAPITAL Q) -> U+0051 (LATIN CAPITAL LETTER Q)
𝑹	R	U+1D479 (MATHEMATICAL BOLD ITALIC CAPITAL R) -> U+0052 (LATIN CAPITAL LETTER R)
𝑺	S	U+1D47A (MATHEMATICAL BOLD ITALIC CAPITAL S) -> U+0053 (LATIN CAPITAL LETTER S)
𝑻	T	U+1D47B (MATHEMATICAL BOLD ITALIC CAPITAL T) -> U+0054 (LATIN CAPITAL LETTER T)
𝑼	U	U+1D47C (MATHEMATICAL BOLD ITALIC CAPITAL U) -> U+0055 (LATIN CAPITAL LETTER U)
